tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000005	short	Blacksmith Scene	Blacksmith Scene	0	1893	\N	1	Comedy,Short
tt0000006	short	Chinese Opium Den	Chinese Opium Den	0	1894	\N	1	Short
tt0000007	short	Corbett and Courtney Before the Kinetograph	Corbett and Courtney Before the Kinetograph	0	1894	\N	1	Short,Sport
tt0000008	short	Edison Kinetoscopic Record of a Sneeze	Edison Kinetoscopic Record of a Sneeze	0	1894	\N	1	Documentary,Short
tt0000009	movie	Miss Jerry	Miss Jerry	0	1894	\N	45	Romance
tt0249336	movie	Aha Naa Pellanta	Aha Naa Pellanta	0	1987	\N	147	Comedy
tt0267277	movie	Ashi Hi Banwa Banwi	Ashi Hi Banwa Banwi	0	1988	\N	137	Comedy
tt0283524	movie	Opasen char	Opasen char	0	1984	\N	90	Comedy,Thriller
tt0989831	movie	Jibon Theke Neya	Jibon Theke Neya	0	1970	\N	150	Drama,Family,War
tt15242712	movie	Dahnam	Dahnam	0	2022	\N	137	Drama
tt15341106	movie	Writer Padmabhushan	Writer Padmabhushan	0	2023	\N	123	Comedy,Drama
tt16747572	movie	The Silence of Swastika	The Silence of Swastika	0	2021	\N	56	Documentary,History
tt21093976	movie	National Theatre Live: Prima Facie	National Theatre Live: Prima Facie	0	2022	\N	120	Drama
tt21288778	movie	Gandhada Gudi	GG - Gandhada Gudi	0	2022	\N	99	Adventure,Family,Musical
tt26744184	movie	Chaos	Chaos	0	2023	\N	150	Action,Mystery,Thriller
